               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075941,            0.022713,            0.067256,            0.075146,             0.36364,             0.14098,             0.09253,            0.035218,           0.0059125,            0.043657,            0.070361,           0.0032932,           0.0032932
                   1,            0.044854,            0.015693,            0.062012,             0.10937,                 0.8,             0.28157,             0.19915,            0.022905,           0.0033482,            0.040216,            0.040318,           0.0065828,           0.0065828
                   2,            0.041606,            0.013232,            0.055786,             0.30974,             0.63565,             0.46555,              0.3608,            0.023133,           0.0035002,            0.032176,             0.01023,           0.0098284,           0.0098284
                   3,            0.041267,            0.012542,            0.043656,             0.49913,             0.69323,             0.63923,             0.41893,            0.022809,           0.0036295,            0.030061,            0.009802,            0.009802,            0.009802
                   4,            0.038067,            0.012337,            0.033741,             0.46866,             0.57131,             0.53008,             0.37408,            0.022157,           0.0033539,            0.035718,            0.009802,            0.009802,            0.009802
                   5,            0.035809,              0.0117,            0.028385,             0.56801,             0.62201,             0.65594,             0.50371,            0.020057,           0.0039654,             0.02198,            0.009736,            0.009736,            0.009736
                   6,            0.035335,             0.01198,            0.026545,             0.42894,             0.52773,             0.59035,             0.42533,            0.018533,           0.0036318,            0.031052,             0.00967,             0.00967,             0.00967
                   7,            0.033479,            0.011702,            0.021048,             0.90937,             0.82951,              0.8818,              0.6759,            0.016709,           0.0031342,             0.01532,            0.009604,            0.009604,            0.009604
                   8,            0.032943,            0.011516,            0.021423,             0.66126,             0.47499,             0.50613,             0.34441,            0.021383,           0.0058084,            0.025811,            0.009538,            0.009538,            0.009538
                   9,            0.032171,            0.011518,             0.01747,             0.88939,             0.67946,             0.89634,             0.70269,            0.019406,           0.0031717,            0.022638,            0.009472,            0.009472,            0.009472
                  10,            0.032322,            0.011517,            0.018585,             0.59743,            0.090909,            0.074827,            0.055647,            0.027613,           0.0084421,            0.089059,            0.009406,            0.009406,            0.009406
                  11,            0.031084,            0.011267,            0.017256,             0.79027,             0.84023,             0.89968,             0.70079,            0.015619,           0.0030693,           0.0087385,             0.00934,             0.00934,             0.00934
                  12,            0.032072,            0.011092,            0.017455,             0.66706,             0.62071,              0.6443,             0.51524,            0.018577,           0.0034909,             0.03842,            0.009274,            0.009274,            0.009274
                  13,            0.031922,            0.011064,            0.015601,             0.86199,             0.62543,             0.76427,             0.60537,            0.018745,           0.0032871,            0.019302,            0.009208,            0.009208,            0.009208
                  14,            0.030221,            0.011133,            0.016396,             0.83479,             0.86853,             0.91052,             0.73339,            0.016838,           0.0028847,            0.014777,            0.009142,            0.009142,            0.009142
