               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090389,            0.020389,            0.055789,             0.13772,             0.48333,               0.231,             0.12255,            0.034778,           0.0082411,            0.034543,            0.070652,           0.0032609,           0.0032609
                   1,            0.049719,            0.016578,            0.049501,             0.46755,             0.54379,             0.46644,             0.24635,            0.028805,           0.0050226,             0.03013,            0.040609,           0.0065507,           0.0065507
                   2,            0.046698,            0.013635,            0.043901,             0.64135,             0.63688,             0.60992,             0.31329,            0.028042,           0.0043432,            0.023291,            0.010521,           0.0097965,           0.0097965
                   3,            0.044001,            0.011407,            0.031632,             0.67447,              0.9591,             0.87433,             0.46534,            0.023972,           0.0032393,           0.0095467,            0.009802,            0.009802,            0.009802
                   4,             0.04048,            0.010181,            0.023126,             0.56802,             0.57357,             0.64388,             0.42565,            0.023129,           0.0043792,            0.017912,            0.009802,            0.009802,            0.009802
                   5,            0.035939,           0.0098902,            0.020186,             0.71798,              0.6069,              0.6919,             0.48405,            0.021218,           0.0051001,            0.012309,            0.009736,            0.009736,            0.009736
                   6,             0.03471,           0.0095899,            0.017428,             0.87174,             0.80524,             0.85992,             0.57501,            0.021181,           0.0032889,            0.006601,             0.00967,             0.00967,             0.00967
                   7,            0.032024,           0.0094143,            0.014831,             0.88246,             0.96187,             0.97697,             0.73329,            0.013796,           0.0028954,            0.005397,            0.009604,            0.009604,            0.009604
                   8,             0.03164,           0.0096859,            0.012147,              0.4526,             0.33749,             0.28272,             0.14687,            0.030735,           0.0086263,            0.028015,            0.009538,            0.009538,            0.009538
                   9,            0.030546,           0.0095786,            0.011471,             0.89413,             0.84123,             0.96993,             0.63916,            0.018755,            0.003303,           0.0052299,            0.009472,            0.009472,            0.009472
                  10,            0.032104,           0.0094716,            0.010545,             0.75811,             0.79297,             0.79361,             0.53166,            0.018636,           0.0043071,           0.0023123,            0.009406,            0.009406,            0.009406
                  11,            0.029935,           0.0090666,            0.010248,             0.80565,             0.48233,             0.53495,             0.27814,            0.028794,           0.0069727,            0.021259,             0.00934,             0.00934,             0.00934
                  12,            0.029687,           0.0093237,           0.0087743,                0.98,              0.9402,             0.98006,             0.73862,            0.013843,           0.0028429,           0.0031746,            0.009274,            0.009274,            0.009274
                  13,            0.030556,           0.0090735,            0.010306,             0.98144,             0.97038,             0.99222,             0.74598,            0.014757,           0.0027562,            0.001993,            0.009208,            0.009208,            0.009208
                  14,            0.029281,           0.0088499,           0.0096684,             0.80287,             0.52385,               0.704,             0.40045,            0.022595,            0.006218,            0.020155,            0.009142,            0.009142,            0.009142
                  15,            0.028151,           0.0088965,            0.009125,             0.99022,             0.99349,               0.995,             0.77228,            0.013215,           0.0023997,           0.0013264,            0.009076,            0.009076,            0.009076
                  16,            0.027914,           0.0091272,           0.0092513,             0.98402,             0.98837,               0.995,             0.79932,            0.012426,           0.0023797,           0.0013175,             0.00901,             0.00901,             0.00901
                  17,            0.027807,           0.0087998,           0.0080959,             0.96593,             0.99566,               0.995,             0.79983,            0.011922,           0.0024758,           0.0014317,            0.008944,            0.008944,            0.008944
                  18,            0.026995,           0.0087292,           0.0077266,             0.98854,              0.9974,               0.995,             0.81387,            0.013208,           0.0023295,          0.00073171,            0.008878,            0.008878,            0.008878
                  19,            0.025899,           0.0086468,           0.0069825,              0.9733,             0.90487,             0.97189,             0.76499,            0.012841,           0.0031335,           0.0010895,            0.008812,            0.008812,            0.008812
                  20,            0.026171,           0.0083684,           0.0066053,             0.98416,                   1,               0.995,             0.82286,            0.012195,           0.0023974,           0.0010443,            0.008746,            0.008746,            0.008746
                  21,            0.025717,           0.0082254,           0.0084239,             0.95657,             0.99263,               0.995,             0.83123,            0.011386,           0.0022957,           0.0031059,             0.00868,             0.00868,             0.00868
                  22,            0.026068,           0.0084049,           0.0070675,             0.92907,              0.9362,             0.97282,             0.78947,            0.012331,           0.0023912,           0.0056419,            0.008614,            0.008614,            0.008614
                  23,            0.025704,           0.0081049,            0.007196,             0.98692,                   1,               0.995,             0.81654,            0.012454,           0.0023996,          0.00078106,            0.008548,            0.008548,            0.008548
                  24,             0.02497,           0.0082481,           0.0074122,             0.99091,                   1,               0.995,             0.80579,            0.011533,           0.0023093,          0.00068579,            0.008482,            0.008482,            0.008482
                  25,            0.024815,           0.0080055,           0.0065168,             0.98674,                   1,               0.995,             0.81989,            0.011911,           0.0022645,          0.00063787,            0.008416,            0.008416,            0.008416
                  26,            0.024972,            0.008052,           0.0064752,             0.98739,             0.98721,               0.995,             0.84203,           0.0099171,           0.0018794,           0.0010151,             0.00835,             0.00835,             0.00835
                  27,            0.024387,           0.0080574,           0.0060181,             0.97329,             0.99684,               0.995,               0.839,            0.009694,            0.002185,          0.00063901,            0.008284,            0.008284,            0.008284
                  28,            0.023373,           0.0077775,           0.0065448,             0.98434,             0.99531,               0.995,             0.83732,            0.010061,            0.002128,           0.0016491,            0.008218,            0.008218,            0.008218
                  29,            0.023544,           0.0077198,           0.0052418,              0.9449,             0.97619,               0.995,             0.81641,            0.010331,            0.002303,           0.0030418,            0.008152,            0.008152,            0.008152
                  30,            0.022637,           0.0078088,           0.0079907,             0.96746,             0.92859,             0.99348,             0.81983,            0.010969,           0.0021412,           0.0037273,            0.008086,            0.008086,            0.008086
                  31,            0.023702,           0.0077568,           0.0063105,             0.98626,                   1,               0.995,             0.82869,            0.011251,           0.0022012,           0.0009058,             0.00802,             0.00802,             0.00802
                  32,            0.022759,            0.007722,           0.0055121,             0.99249,                   1,               0.995,             0.85236,            0.010631,           0.0019583,          0.00078907,            0.007954,            0.007954,            0.007954
                  33,            0.022448,           0.0076507,           0.0051236,             0.98973,                   1,               0.995,             0.82645,             0.01127,           0.0020516,          0.00078163,            0.007888,            0.007888,            0.007888
                  34,            0.022601,           0.0073093,           0.0049235,             0.98945,                   1,               0.995,             0.86465,           0.0089949,           0.0019071,          0.00063114,            0.007822,            0.007822,            0.007822
                  35,            0.021248,           0.0074757,           0.0064514,             0.98454,                   1,               0.995,             0.87869,           0.0095221,           0.0019092,          0.00056577,            0.007756,            0.007756,            0.007756
                  36,            0.022284,           0.0075087,           0.0052039,             0.93875,             0.98656,             0.99197,             0.81809,           0.0095323,           0.0025735,           0.0022785,             0.00769,             0.00769,             0.00769
                  37,            0.021307,           0.0074825,           0.0042487,             0.99104,                   1,               0.995,             0.86599,           0.0092584,           0.0016828,          0.00057292,            0.007624,            0.007624,            0.007624
                  38,            0.021243,           0.0074663,           0.0037407,              0.9885,                   1,               0.995,             0.87124,            0.008178,           0.0018161,          0.00088892,            0.007558,            0.007558,            0.007558
                  39,            0.022226,           0.0074265,           0.0059357,             0.99025,                   1,               0.995,             0.85809,           0.0086269,           0.0018873,          0.00050797,            0.007492,            0.007492,            0.007492
                  40,            0.021094,           0.0072384,           0.0045954,             0.98847,                   1,               0.995,             0.87766,           0.0084471,           0.0018256,          0.00049324,            0.007426,            0.007426,            0.007426
                  41,            0.021097,           0.0074599,           0.0044355,             0.99188,                   1,               0.995,             0.86928,           0.0087837,            0.002135,           0.0006084,             0.00736,             0.00736,             0.00736
                  42,            0.020044,           0.0072314,           0.0037891,             0.98848,                   1,               0.995,             0.86864,           0.0094515,           0.0019099,          0.00052471,            0.007294,            0.007294,            0.007294
                  43,             0.02049,           0.0071246,           0.0041444,             0.99052,                   1,               0.995,             0.84703,           0.0099752,           0.0019414,          0.00049667,            0.007228,            0.007228,            0.007228
                  44,            0.020081,           0.0071698,           0.0056007,             0.99165,                   1,               0.995,             0.86322,           0.0093954,           0.0020176,          0.00047708,            0.007162,            0.007162,            0.007162
